"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 11:38:34 GMT 2025","Thu Feb 20 11:38:35 GMT 2025","710","chromium","makeMyTripTests.spec.js","","","","Add to card from summary page",""
"failed","Thu Feb 20 11:38:36 GMT 2025","Thu Feb 20 11:38:43 GMT 2025","6714","chromium","makeMyTripTests.spec.js","","","","Logout",""
"passed","Thu Feb 20 11:38:35 GMT 2025","Thu Feb 20 11:38:36 GMT 2025","657","chromium","makeMyTripTests.spec.js","","","","Add to vard from product page",""
