"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5723","Add to cart from summary page","chromium","Thu Feb 20 14:27:56 UTC 2025","passed","Thu Feb 20 14:28:02 UTC 2025","","sauceDemoTests.spec.js","",""
"","833","Add to cart from product page","chromium","Thu Feb 20 14:28:02 UTC 2025","passed","Thu Feb 20 14:28:03 UTC 2025","","sauceDemoTests.spec.js","",""
"","1718","Logout","chromium","Thu Feb 20 14:28:03 UTC 2025","passed","Thu Feb 20 14:28:05 UTC 2025","","sauceDemoTests.spec.js","",""
